metric,structural_length,fine_value,fine_match_error,certification_status,spatial_status,spatial_observed_order,spatial_extrapolated_limit,spatial_estimated_fine_error,spatial_estimated_relative_fine_error,temporal_status,temporal_observed_order,temporal_extrapolated_limit,temporal_estimated_fine_error,temporal_estimated_relative_fine_error,combined_estimated_fine_error,combined_estimated_relative_fine_error
component:heterogeneity,0.25,0.5064675771399808,0.0,certified,asymptotic,2.1964547754238803,0.506515626508177,4.804936819624572e-05,9.486255839230268e-05,asymptotic,1.9246832047455338,0.5064676629814246,8.584144384204961e-08,1.694904731660982e-07,4.813520964008777e-05,9.504104865292068e-05
component:localization,0.25,0.778742692047614,0.0,certified,asymptotic,2.141685611363182,0.7788650472160613,0.00012235516844727456,0.0001570941832408774,asymptotic,2.0002126999579666,0.7787424641761604,2.2787145359526306e-07,2.9261465000028037e-07,0.00012258303990086983,0.00015741148026513337
component:roughness,0.25,0.38389546132278995,0.0,certified,asymptotic,1.926198739243161,0.38435591114251827,0.00046044981972831467,0.0011979777242389826,asymptotic,2.0045288899927898,0.3838954275993302,3.3723459746948237e-08,8.784543217364195e-08,0.0004604835431880616,0.001199502441631823
component:sign_mixing,0.25,0.9537643763926944,0.0,certified,asymptotic,1.7305664341910882,0.9538262174173642,6.184102466977315e-05,6.483468743102651e-05,asymptotic,1.9907088968169688,0.9537643407751686,3.561752581759947e-08,3.734415756061026e-08,6.187664219559075e-05,6.487623539643948e-05
component:temporal_deformation,0.25,0.14547265234729706,0.0,certified,asymptotic,1.7668680116557889,0.14553893623019448,6.628388289742215e-05,0.00045543745621847174,asymptotic,1.9999441150274295,0.14547326073928474,6.083919876775923e-07,4.182156807277073e-06,6.689227488509975e-05,0.00045982714830415775
structure_index,0.25,0.5536685518500752,0.0,certified,asymptotic,1.9704131787580597,0.5538180604140075,0.00014950856393225465,0.0002699597117155936,asymptotic,1.9851488362137755,0.5536686311907387,7.93406634835847e-08,1.4329990722600983e-07,0.00014958790459573823,0.00027017590956880693
coupled_index,0.25,1.1061973260593352,0.0,certified,asymptotic,1.9503350210492756,1.1092491134144735,0.0030517873551383357,0.0027512191069004968,asymptotic,1.9996761683593103,1.106199685253322,2.3591939868339296e-06,2.1327017339492996e-06,0.0030541465491251696,0.002760941901753746
raw_roughness_index,0.25,0.6233029218645355,0.0,certified,asymptotic,1.9113382696790673,0.6245313423165125,0.0012284204519770192,0.0019669476433649595,asymptotic,2.00371571659048,0.6233028220274851,9.983705040461643e-08,1.6017423133087312e-07,0.0012285202890274238,0.001970984325490491
component:heterogeneity,0.5,0.5064675771399808,0.0,certified,asymptotic,2.1964547754238803,0.506515626508177,4.804936819624572e-05,9.486255839230268e-05,asymptotic,1.9246832047455338,0.5064676629814246,8.584144384204961e-08,1.694904731660982e-07,4.813520964008777e-05,9.504104865292068e-05
component:localization,0.5,0.778742692047614,0.0,certified,asymptotic,2.141685611363182,0.7788650472160613,0.00012235516844727456,0.0001570941832408774,asymptotic,2.0002126999579666,0.7787424641761604,2.2787145359526306e-07,2.9261465000028037e-07,0.00012258303990086983,0.00015741148026513337
component:roughness,0.5,0.5547685208460942,0.0,certified,asymptotic,1.932859894857889,0.5552467788117049,0.00047825796561073997,0.0008613430709751612,asymptotic,2.0049601286591843,0.5547684875462395,3.329985465150287e-08,6.002477681958702e-08,0.00047829126546539147,0.0008621456472258646
component:sign_mixing,0.5,0.9537643763926944,0.0,certified,asymptotic,1.7305664341910882,0.9538262174173642,6.184102466977315e-05,6.483468743102651e-05,asymptotic,1.9907088968169688,0.9537643407751686,3.561752581759947e-08,3.734415756061026e-08,6.187664219559075e-05,6.487623539643948e-05
component:temporal_deformation,0.5,0.14547265234729706,0.0,certified,asymptotic,1.7668680116557889,0.14553893623019448,6.628388289742215e-05,0.00045543745621847174,asymptotic,1.9999441150274295,0.14547326073928474,6.083919876775923e-07,4.182156807277073e-06,6.689227488509975e-05,0.00045982714830415775
structure_index,0.5,0.5878431637547362,0.0,certified,asymptotic,1.9731732490504361,0.5879962723513656,0.00015310859662942544,0.0002603904205330288,asymptotic,1.985132026983499,0.587843243180192,7.942545576788973e-08,1.3511332602583542e-07,0.00015318802208519333,0.00026059335470831035
coupled_index,0.5,1.1305360281500916,0.0,certified,asymptotic,1.9504238765021353,1.1336551764062792,0.0031191482561876427,0.0027514082951355947,asymptotic,1.9996838656117628,1.1305384387205917,2.410570500099851e-06,2.132232233366472e-06,0.0031215588266877425,0.0027611316658307503
raw_roughness_index,0.5,1.246605843729071,0.0,certified,asymptotic,1.9113382696790673,1.249062684633025,0.0024568409039540384,0.0019669476433649595,asymptotic,2.00371571659048,1.2466056440549702,1.9967410080923287e-07,1.6017423133087312e-07,0.0024570405780548477,0.001970984325490491
component:heterogeneity,1.0,0.5064675771399808,0.0,certified,asymptotic,2.1964547754238803,0.506515626508177,4.804936819624572e-05,9.486255839230268e-05,asymptotic,1.9246832047455338,0.5064676629814246,8.584144384204961e-08,1.694904731660982e-07,4.813520964008777e-05,9.504104865292068e-05
component:localization,1.0,0.778742692047614,0.0,certified,asymptotic,2.141685611363182,0.7788650472160613,0.00012235516844727456,0.0001570941832408774,asymptotic,2.0002126999579666,0.7787424641761604,2.2787145359526306e-07,2.9261465000028037e-07,0.00012258303990086983,0.00015741148026513337
component:roughness,1.0,0.7136074775482916,0.0,certified,asymptotic,1.9390804754530067,0.7140012204538212,0.000393742905529626,0.0005514597093816757,asymptotic,2.0054085349303907,0.7136074514638974,2.6084394200154293e-08,3.655286130581268e-08,0.00039376898992382614,0.0005518005378484544
component:sign_mixing,1.0,0.9537643763926944,0.0,certified,asymptotic,1.7305664341910882,0.9538262174173642,6.184102466977315e-05,6.483468743102651e-05,asymptotic,1.9907088968169688,0.9537643407751686,3.561752581759947e-08,3.734415756061026e-08,6.187664219559075e-05,6.487623539643948e-05
component:temporal_deformation,1.0,0.14547265234729706,0.0,certified,asymptotic,1.7668680116557889,0.14553893623019448,6.628388289742215e-05,0.00045543745621847174,asymptotic,1.9999441150274295,0.14547326073928474,6.083919876775923e-07,4.182156807277073e-06,6.689227488509975e-05,0.00045982714830415775
structure_index,1.0,0.6196109550951756,0.0,certified,asymptotic,1.9811056907676836,0.6197472215709366,0.00013626647576103768,0.00021987428263999168,asymptotic,1.9854643282258118,0.6196110359633187,8.086814307084467e-08,1.305143684942889e-07,0.00013634734390410852,0.00022005315235778042
coupled_index,1.0,1.1531465265337026,0.0,certified,asymptotic,1.9508106766759266,1.1563132292509866,0.00316670271728392,0.0027386201568714934,asymptotic,1.9996924651315002,1.153148984383815,2.457850112325133e-06,2.1314245996049548e-06,0.0031691605673962453,0.0027482722225444967
raw_roughness_index,1.0,2.493211687458142,0.0,certified,asymptotic,1.9113382696790673,2.49812536926605,0.004913681807908077,0.0019669476433649595,asymptotic,2.00371571659048,2.4932112881099404,3.9934820161846574e-07,1.6017423133087312e-07,0.004914081156109695,0.001970984325490491
component:heterogeneity,2.0,0.5064675771399808,0.0,certified,asymptotic,2.1964547754238803,0.506515626508177,4.804936819624572e-05,9.486255839230268e-05,asymptotic,1.9246832047455338,0.5064676629814246,8.584144384204961e-08,1.694904731660982e-07,4.813520964008777e-05,9.504104865292068e-05
component:localization,2.0,0.778742692047614,0.0,certified,asymptotic,2.141685611363182,0.7788650472160613,0.00012235516844727456,0.0001570941832408774,asymptotic,2.0002126999579666,0.7787424641761604,2.2787145359526306e-07,2.9261465000028037e-07,0.00012258303990086983,0.00015741148026513337
component:roughness,2.0,0.8328575586571725,0.0,certified,asymptotic,1.9437698546195046,0.8331247516486975,0.0002671929915250004,0.000320711863374895,asymptotic,2.00578005685161,0.8328575416381868,1.7018985665195885e-08,2.0434449848074183e-08,0.0002672100105106656,0.00032083518692138896
component:sign_mixing,2.0,0.9537643763926944,0.0,certified,asymptotic,1.7305664341910882,0.9538262174173642,6.184102466977315e-05,6.483468743102651e-05,asymptotic,1.9907088968169688,0.9537643407751686,3.561752581759947e-08,3.734415756061026e-08,6.187664219559075e-05,6.487623539643948e-05
component:temporal_deformation,2.0,0.14547265234729706,0.0,certified,asymptotic,1.7668680116557889,0.14553893623019448,6.628388289742215e-05,0.00045543745621847174,asymptotic,1.9999441150274295,0.14547326073928474,6.083919876775923e-07,4.182156807277073e-06,6.689227488509975e-05,0.00045982714830415775
structure_index,2.0,0.6434609713169518,0.0,certified,asymptotic,1.9920672822289252,0.6435719932515959,0.00011102193464407328,0.00017250895907254115,asymptotic,1.9858965873866412,0.6434610539976057,8.268065387895263e-08,1.2849364132496555e-07,0.00011110461529795224,0.00017266721720597575
coupled_index,2.0,1.1701126518053229,0.0,certified,asymptotic,1.951240718859018,1.1733056542721785,0.00319300246685561,0.002721373118103896,asymptotic,1.9996998966421784,1.1701151447405564,2.492935233577853e-06,2.130504202755703e-06,0.003195495402089188,0.002730929707630268
raw_roughness_index,2.0,4.986423374916284,0.0,certified,asymptotic,1.9113382696790673,4.9962507385321,0.009827363615816154,0.0019669476433649595,asymptotic,2.00371571659048,4.986422576219881,7.986964032369315e-07,1.6017423133087312e-07,0.00982816231221939,0.001970984325490491
