time,intensity_rate,structure_rate,coupled_rate,heterogeneity,localization,roughness,sign_mixing,temporal_deformation
3.750000000000000000e+00,6.821121408311691114e-01,5.957961623546008667e-01,1.088502213707512434e+00,9.948522831988679815e-01,3.599556561769273522e+00,1.325004932787210654e+00,9.832889959919315359e-01,1.689084716257758800e-01
3.775000000000000355e+00,6.796380661784254817e-01,5.961017099976608780e-01,1.084762079426450976e+00,9.956909884814262313e-01,3.610571324575405860e+00,1.324956787118082291e+00,9.833971225197929433e-01,1.698638245718561146e-01
3.800000000000000266e+00,6.771409104859617001e-01,5.964083835280850066e-01,1.080984353059430525e+00,9.965569486418079936e-01,3.621678805235425180e+00,1.324891790356843568e+00,9.834993438766673757e-01,1.708293868327950271e-01
3.825000000000000178e+00,6.746215032137996559e-01,5.967160080723273863e-01,1.077170211197378880e+00,9.974456098012511873e-01,3.632874310401135176e+00,1.324809986793844763e+00,9.835956161116388152e-01,1.718049282120420740e-01
3.850000000000000089e+00,6.720806832270391773e-01,5.970245067512629511e-01,1.073320914043673469e+00,9.983623653307637236e-01,3.644153062615611560e+00,1.324711476427071544e+00,9.836858125180286683e-01,1.727902199243483428e-01
3.875000000000000000e+00,6.695192985900467741e-01,5.973337958306051965e-01,1.069437733644174493e+00,9.993035843162623166e-01,3.655510199435127561e+00,1.324596452178443240e+00,9.837698798356385721e-01,1.737850341086781270e-01
3.900000000000000355e+00,6.669382063550575168e-01,5.976438098397951482e-01,1.065521970313380695e+00,1.000272742485039057e+00,3.666940772629390999e+00,1.324465414041427591e+00,9.838477060728719747e-01,1.747891433302238839e-01
3.925000000000000266e+00,6.643382723449993144e-01,5.979544799689907597e-01,1.061574937910649385e+00,1.001269576478272638e+00,3.678439747470737764e+00,1.324318232270573326e+00,9.839192091165569476e-01,1.758023200732000135e-01
3.950000000000000178e+00,6.617203709303545178e-01,5.982656623897356640e-01,1.057597916018320650e+00,1.002294551133665168e+00,3.690002002123335956e+00,1.324154902621085039e+00,9.839843002632283619e-01,1.768243362259582230e-01
3.975000000000000089e+00,6.590853847998940918e-01,5.985772042026806794e-01,1.053592193991403470e+00,1.003344309004372992e+00,3.701622327143980762e+00,1.323975670769893087e+00,9.840429206653309446e-01,1.778549625599054607e-01
4.000000000000000000e+00,6.564342047251114920e-01,5.988889921260962534e-01,1.049559102792459564e+00,1.004421375145743589e+00,3.713295425106581504e+00,1.323780522448856800e+00,9.840949636683937740e-01,1.788939682037796186e-01
4.025000000000000355e+00,6.537677293182118099e-01,5.992008363025277395e-01,1.045499938283082519e+00,1.005523842826391956e+00,3.725015910362778015e+00,1.323569414360461272e+00,9.841403574095054507e-01,1.799411201147210482e-01
4.049999999999999822e+00,6.510868647835073020e-01,5.995125582961382538e-01,1.041416018777893360e+00,1.006646609101700784e+00,3.736778308951784311e+00,1.323342381706961168e+00,9.841790545619465425e-01,1.809961825475231989e-01
4.075000000000000178e+00,6.483925246620904081e-01,5.998241429210120490e-01,1.037308783278493518e+00,1.007796274170441153e+00,3.748577058672771578e+00,1.323099430559124823e+00,9.842109145581993124e-01,1.820589165234887674e-01
4.100000000000000533e+00,6.456856295696642434e-01,6.001353011249346281e-01,1.033179507120138396e+00,1.008972976794538345e+00,3.760406509333675373e+00,1.322840336011177786e+00,9.842358477061582400e-01,1.831290793002240957e-01
4.125000000000000000e+00,6.429671069274204287e-01,6.004455497919509721e-01,1.029029355412582891e+00,1.010155532260839761e+00,3.772260923190662751e+00,1.322565017529168330e+00,9.842539317119040065e-01,1.842064238436610379e-01
4.150000000000000355e+00,6.402378906858718910e-01,6.007548939223097406e-01,1.024859822393034081e+00,1.011355482991528110e+00,3.784134475592755287e+00,1.322273577384678767e+00,9.842649859010205171e-01,1.852906983036615163e-01
4.174999999999999822e+00,6.374989210415543672e-01,6.010635461488733622e-01,1.020672546484653331e+00,1.012580521738641881e+00,3.796021255846574682e+00,1.321966140548227475e+00,9.842688600273827859e-01,1.863816454943720835e-01
4.200000000000000178e+00,6.347511441465306659e-01,6.013714248807562335e-01,1.016468987785718925e+00,1.013830488998920920e+00,3.807915268316327762e+00,1.321642892801783153e+00,9.842654654300079242e-01,1.874790023806390260e-01
4.225000000000000533e+00,6.319955118106405090e-01,6.016783361149615761e-01,1.012250546244954252e+00,1.015100054891142412e+00,3.819810433774395442e+00,1.321304181831667757e+00,9.842547538996935241e-01,1.885824995716418040e-01
4.250000000000000000e+00,6.292329811964533226e-01,6.019841021371608036e-01,1.008018644074584635e+00,1.016392622154394187e+00,3.831700591018121216e+00,1.320950098578276721e+00,9.842366084042583063e-01,1.896918608229244962e-01
4.275000000000000355e+00,6.264645145068979959e-01,6.022886234739016631e-01,1.003774763577636842e+00,1.017700906217984036e+00,3.843579498768413316e+00,1.320580771094711725e+00,9.842109960794129808e-01,1.908068025480192942e-01
4.299999999999999822e+00,6.236910786655559535e-01,6.025919035077254016e-01,9.995204612317638571e-01,1.019036879433397047e+00,3.855440837865843129e+00,1.320196500611634516e+00,9.841777321893334651e-01,1.919270333407355200e-01
4.325000000000000178e+00,6.209136449896186516e-01,6.028937495653348133e-01,9.952571802659988531e-01,1.020393247879624044e+00,3.867278213779908214e+00,1.319797386451632804e+00,9.841367840067647421e-01,1.930522535093028291e-01
4.350000000000000533e+00,6.181331888555270382e-01,6.031938992696861401e-01,9.909863302306964883e-01,1.021765860876929777e+00,3.879085159446986175e+00,1.319383336131149331e+00,9.840880944961659660e-01,1.941821546233875317e-01
4.375000000000000000e+00,6.153506893573220671e-01,6.034922750995135310e-01,9.867094445979135431e-01,1.023158138457789468e+00,3.890855138452239181e+00,1.318954291587708161e+00,9.840315468854589076e-01,1.953164190751172369e-01
4.400000000000000355e+00,6.125671289577555578e-01,6.037887614561029404e-01,9.824280411878010266e-01,1.024571122769918130e+00,3.902581548570540626e+00,1.318509943944962792e+00,9.839670434230831653e-01,1.964547196551545416e-01
4.424999999999999822e+00,6.097834931322190233e-01,6.040831557237009708e-01,9.781435919062599904e-01,1.025999878231466544e+00,3.914257725680920785e+00,1.318050436146806836e+00,9.838945347276072395e-01,1.975967191448710358e-01
4.450000000000000178e+00,6.070007700055694011e-01,6.043753608516972964e-01,9.738576402873688753e-01,1.027445976029010000e+00,3.925876948068634853e+00,1.317575900832087754e+00,9.838139200219850888e-01,1.987420699256507717e-01
4.475000000000000533e+00,6.042199499819428388e-01,6.046653955615834963e-01,9.695718058034110687e-01,1.028912692950494812e+00,3.937432441128217775e+00,1.317086357910614902e+00,9.837250850385214074e-01,1.998904136063461845e-01
4.500000000000000000e+00,6.014420253676625583e-01,6.049530953894565188e-01,9.652876020324768769e-01,1.030403272066525266e+00,3.948917382480164662e+00,1.316582096874249208e+00,9.836279158645596654e-01,2.010413806698977401e-01
4.525000000000000355e+00,5.986679899873598165e-01,6.052380033902942102e-01,9.610063726608936152e-01,1.031903312019718966e+00,3.960324907512880799e+00,1.316063570600873200e+00,9.835224439268488439e-01,2.021945901401046020e-01
4.549999999999999822e+00,5.958988387934484043e-01,6.055198671078041439e-01,9.567295906531221306e-01,1.033408349075898736e+00,3.971648115360609133e+00,1.315531158772535347e+00,9.834086222485789452e-01,2.033496492695476277e-01
4.575000000000000178e+00,5.931355674690985680e-01,6.057987135313995797e-01,9.524589001576952985e-01,1.034929318021632572e+00,3.982880075326723279e+00,1.314984938419855753e+00,9.832862775265042155e-01,2.045061532496184331e-01
4.600000000000000533e+00,5.903791720248804387e-01,6.060743326287998389e-01,9.481958069125273614e-01,1.036460859343151908e+00,3.994013833760459597e+00,1.314424961185559626e+00,9.831553721800168066e-01,2.056636849436282166e-01
4.625000000000000000e+00,5.876306483892501653e-01,6.063463099479559082e-01,9.439416993512295129e-01,1.037994664062710459e+00,4.005042421393644858e+00,1.313851457592408067e+00,9.830158963893467217e-01,2.068218146439538829e-01
