time,intensity_rate,structure_rate,coupled_rate,heterogeneity,localization,roughness,sign_mixing,temporal_deformation
4.350000000000000533e+00,5.640051894935122156e+00,2.665071937757810400e-02,5.790304777331610531e+00,3.019620816144199157e-15,0.000000000000000000e+00,4.999149477465174005e-14,0.000000000000000000e+00,1.537408270704279656e-01
4.375000000000000000e+00,5.596590199464828608e+00,2.694167607589856642e-02,5.747316798352664513e+00,2.622839108091722987e-15,0.000000000000000000e+00,4.404982696496475476e-14,0.000000000000000000e+00,1.556805547503637699e-01
4.400000000000000355e+00,5.552926856879577322e+00,2.722944505355524500e-02,5.704078684435494040e+00,2.682308547386065865e-15,2.220446049250313081e-16,4.459348623748974309e-14,0.000000000000000000e+00,1.576054567560079001e-01
4.424999999999999822e+00,5.509075985685739418e+00,2.751399068353228838e-02,5.660604987879693795e+00,3.182383625614351849e-15,2.220446049250313081e-16,5.198910479348701111e-14,0.000000000000000000e+00,1.595151126642651851e-01
4.450000000000000178e+00,5.465051665210371112e+00,2.779527630591652199e-02,5.616910241111801483e+00,2.863031643584515324e-15,-1.110223024625156540e-16,4.821368289898052035e-14,0.000000000000000000e+00,1.614090924173903208e-01
4.475000000000000533e+00,5.420867928641961875e+00,2.807326420698206398e-02,5.573008949199065754e+00,2.615604847234943581e-15,0.000000000000000000e+00,4.233672570133433490e-14,0.000000000000000000e+00,1.632869561584499585e-01
4.500000000000000000e+00,5.376538756158178778e+00,2.834791559806530692e-02,5.528915582439787535e+00,2.994779952407990154e-15,4.440892098500626162e-16,5.034522412817635051e-14,0.000000000000000000e+00,1.651482540685070000e-01
4.525000000000000355e+00,5.332078068145503558e+00,2.861919059422201456e-02,5.484644569035546091e+00,2.840138036770769087e-15,-1.110223024625156540e-16,4.767597575907667033e-14,0.000000000000000000e+00,1.669925262057075921e-01
4.549999999999999822e+00,5.287499718515624281e+00,2.888704819268420390e-02,5.440210287850706372e+00,3.011461127678993746e-15,-1.110223024625156540e-16,5.038688560185186617e-14,0.000000000000000000e+00,1.688193023466593445e-01
4.575000000000000178e+00,5.242817488123193925e+00,2.915144625111288842e-02,5.395627061264300472e+00,2.894823636401293964e-15,-4.440892098500626162e-16,4.854424267210547177e-14,0.000000000000000000e+00,1.706281018304345309e-01
4.600000000000000533e+00,5.198045078289605492e+00,2.941234146564018423e-02,5.350909148119368908e+00,2.776940462859816451e-15,2.220446049250313081e-16,4.740287723561752876e-14,0.000000000000000000e+00,1.724184334054493228e-01
4.625000000000000000e+00,5.153196104437298253e+00,2.966968934872632468e-02,5.306070736774830543e+00,2.767062423174547071e-15,-1.110223024625156540e-16,4.706839577050401759e-14,0.000000000000000000e+00,1.741897950797287042e-01
4.650000000000000355e+00,5.108284089838915243e+00,2.992344420683152803e-02,5.261125938264743951e+00,2.538537574715885504e-15,-1.110223024625156540e-16,4.286128217576237113e-14,0.000000000000000000e+00,1.759416739749112002e-01
