time,intensity_rate,structure_rate,coupled_rate,heterogeneity,localization,roughness,sign_mixing,temporal_deformation
5.375000000000000000e+00,6.594337614319580567e-32,0.000000000000000000e+00,5.522724251139470485e-32,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.400000000000000355e+00,3.430244116954170618e-32,0.000000000000000000e+00,4.677973632848417038e-32,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.425000000000000711e+00,5.257068683165746349e-32,0.000000000000000000e+00,5.030842322039814448e-32,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.450000000000000178e+00,6.178987804873494852e-32,0.000000000000000000e+00,5.496049682380041235e-32,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.475000000000000533e+00,4.369154436607428341e-32,0.000000000000000000e+00,5.080239747401222406e-32,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000000e+00,5.403662311516540280e-32,0.000000000000000000e+00,4.873810606501954844e-32,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.525000000000000355e+00,4.318763366367307736e-32,0.000000000000000000e+00,4.762212113824915623e-32,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.550000000000000711e+00,5.007659411048506740e-32,0.000000000000000000e+00,4.894078043813931967e-32,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.575000000000000178e+00,5.242229986791372714e-32,0.000000000000000000e+00,5.091228609186069352e-32,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.600000000000000533e+00,4.872795052113026335e-32,0.000000000000000000e+00,4.895248470994605116e-32,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.625000000000000000e+00,4.593173792960993986e-32,0.000000000000000000e+00,4.612819094944138404e-32,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.650000000000000355e+00,4.392133741741522885e-32,0.000000000000000000e+00,4.516176241361880392e-32,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.675000000000000711e+00,4.687263689003482359e-32,0.000000000000000000e+00,4.405248189466155842e-32,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.700000000000000178e+00,3.854331638116155468e-32,0.000000000000000000e+00,4.527237084182625269e-32,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.725000000000000533e+00,5.713021371494708327e-32,0.000000000000000000e+00,4.971969043844158578e-32,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
