study,frame_mode,target_dt_over_h,grid_size,spacing,delta_time,dt_over_h,absolute_defect,relative_defect,observed_order,error_over_h_squared,physical_shift_cells_x,physical_shift_cells_y,frame_shift_cells_x,frame_shift_cells_y,transformed_shift_cells_x,transformed_shift_cells_y,physical_phase_x,physical_phase_y,frame_phase_x,frame_phase_y,transformed_phase_x,transformed_phase_y
controlled_phase,accelerated,0.31,32.0,0.19634954084936207,0.060868357663302244,0.31,0.04699784341895344,0.17659946072910004,,1.219040543704478,0.2542,-0.1767,0.130586775363647,-0.09069653096511957,0.12361322463635299,-0.08600346903488043,0.2542,0.8233,0.130586775363647,0.9093034690348805,0.12361322463635299,0.9139965309651196
controlled_phase,accelerated,0.31,64.0,0.09817477042468103,0.030434178831651122,0.31,0.02320015940623832,0.10889191021992478,1.0184598396212414,2.4070836344125266,0.2542,-0.1767,0.1293083876818235,-0.08983326548255978,0.12489161231817647,-0.08686673451744022,0.2542,0.8233,0.1293083876818235,0.9101667345174402,0.12489161231817647,0.9131332654825598
controlled_phase,accelerated,0.31,128.0,0.04908738521234052,0.015217089415825561,0.31,0.011529734404536307,0.06181241672020637,1.0087754381294165,4.784973156144756,0.2542,-0.1767,0.12866919384091174,-0.08940163274127988,0.12553080615908824,-0.08729836725872012,0.2542,0.8233,0.12866919384091174,0.9105983672587201,0.12553080615908824,0.9127016327412799
controlled_phase,accelerated,0.31,256.0,0.02454369260617026,0.0076085447079127805,0.31,0.005747826803842171,0.033173835429152344,1.00427078427412,9.541658462395498,0.2542,-0.1767,0.12834959692045586,-0.08918581637063994,0.12585040307954412,-0.08751418362936006,0.2542,0.8233,0.12834959692045586,0.9108141836293601,0.12585040307954412,0.91248581637064
controlled_phase,accelerated,0.47,32.0,0.19634954084936207,0.09228428419920016,0.47,0.03553829043153378,0.14185315287297745,,0.9218001026939314,0.38539999999999996,-0.26789999999999997,0.19998712463922602,-0.13885868564198658,0.18541287536077394,-0.1290413143580134,0.38539999999999996,0.7321,0.19998712463922602,0.8611413143580134,0.18541287536077394,0.8709586856419866
controlled_phase,accelerated,0.47,64.0,0.09817477042468103,0.04614214209960008,0.47,0.017379582487745432,0.084682304528832,1.0319808577368308,1.803181945720845,0.38539999999999996,-0.26789999999999997,0.19704856231961299,-0.13687434282099328,0.18835143768038698,-0.1310256571790067,0.38539999999999996,0.7321,0.19704856231961299,0.8631256571790067,0.18835143768038698,0.8689743428209933
controlled_phase,accelerated,0.47,128.0,0.04908738521234052,0.02307107104980004,0.47,0.008598342370984585,0.04708517829866168,1.0152629623185774,3.568411551294354,0.38539999999999996,-0.26789999999999997,0.1955792811598065,-0.13588217141049663,0.18982071884019347,-0.13201782858950334,0.38539999999999996,0.7321,0.1955792811598065,0.8641178285895034,0.18982071884019347,0.8679821714104967
controlled_phase,accelerated,0.47,256.0,0.02454369260617026,0.01153553552490002,0.47,0.004277061469381338,0.024967407003756013,1.0074386154710382,7.100119950766139,0.38539999999999996,-0.26789999999999997,0.19484464057990322,-0.1353860857052483,0.19055535942009674,-0.13251391429475168,0.38539999999999996,0.7321,0.19484464057990322,0.8646139142947518,0.19055535942009674,0.8674860857052483
controlled_phase,accelerated,0.73,32.0,0.19634954084936207,0.1433351648200343,0.73,0.01650051022795096,0.07331470859731318,,0.42799391411161397,0.5986,-0.41609999999999997,0.3156679978281737,-0.21908407233415414,0.28293200217182635,-0.19701592766584583,0.5986,0.5839000000000001,0.3156679978281737,0.7809159276658458,0.28293200217182635,0.8029840723341541
controlled_phase,accelerated,0.73,64.0,0.09817477042468103,0.07166758241001715,0.73,0.007825990489733897,0.04065382742095161,1.0761653739378199,0.8119691464637616,0.5986,-0.41609999999999997,0.3085789989140868,-0.21429703616707704,0.2900210010859132,-0.20180296383292293,0.5986,0.5839000000000001,0.3085789989140868,0.7857029638329229,0.2900210010859132,0.798197036167077
